,block,stimulus_block,stimulus_side,key_press,responses,rt,stimulus,stimulus_2,stimulus_block,stimulus_side,sub_block,subject,tags1,tags2,time_elapsed,trial_type
35,3,B,1,K,,1879,f42887_e_231 copy.png,f42887_e_273 copy.png,B,1,0,1,['B'],['C'],193492,bRMS
36,3,B,0,K,,1516.4,f42887_e_161 copy.png,f42887_e_068 copy.png,B,0,0,1,['B'],['C'],195481,bRMS
37,3,B,0,K,,5891.4,f42887_e_295 copy.png,f42887_e_238 copy.png,B,0,0,1,['B'],['C'],201842,bRMS
38,3,B,0,K,,1081,f42887_e_004 copy.png,f42887_e_024 copy.png,B,0,0,1,['B'],['C'],203392,bRMS
39,3,B,1,D,,1029.6,f42887_e_016 copy.png,f42887_e_197 copy.png,B,1,0,1,['B'],['C'],204879,bRMS
40,3,B,0,K,,1039.5,f42887_e_166 copy.png,f42887_e_201 copy.png,B,0,0,1,['B'],['C'],206382,bRMS
41,3,B,1,D,,1789.1,f42887_e_054 copy.png,f42887_e_240 copy.png,B,1,0,1,['B'],['C'],208634,bRMS
42,3,B,0,K,,1492.3,f42887_e_287 copy.png,f42887_e_265 copy.png,B,0,0,1,['B'],['C'],210590,bRMS
43,3,B,1,K,,1722.3,f42887_e_191 copy.png,f42887_e_212 copy.png,B,1,0,1,['B'],['C'],212770,bRMS
44,3,B,0,K,,5565.5,f42887_e_200 copy.png,f42887_e_134 copy.png,B,0,0,1,['B'],['C'],218801,bRMS
45,3,B,0,K,,1083.9,f42887_e_180 copy.png,f42887_e_210 copy.png,B,0,0,1,['B'],['C'],220351,bRMS
46,2,A,0,D,,1336.2,f42887_e_005 copy.png,f42887_e_068 copy.png,A,0,0,1,['A'],['C'],222154,bRMS
47,2,A,1,D,,1848,f42887_e_058 copy.png,f42887_e_197 copy.png,A,1,0,1,['A'],['C'],224472,bRMS
48,2,A,1,K,,5322.8,f42887_e_064 copy.png,f42887_e_134 copy.png,A,1,0,1,['A'],['C'],230251,bRMS
49,2,A,0,D,,2657.4,f42887_e_064 copy.png,f42887_e_212 copy.png,A,0,0,1,['A'],['C'],233375,bRMS
50,2,A,1,D,,1490.7,f42887_e_252 copy.png,f42887_e_238 copy.png,A,1,0,1,['A'],['C'],235335,bRMS
51,2,A,0,K,,1255.8,f42887_e_121 copy.png,f42887_e_021 copy.png,A,0,0,1,['A'],['C'],237049,bRMS
52,2,A,1,K,,1546.5,f42887_e_156 copy.png,f42887_e_240 copy.png,A,1,0,1,['A'],['C'],239064,bRMS
53,2,A,1,D,,1187.8,f42887_e_298 copy.png,f42887_e_067 copy.png,A,1,0,1,['A'],['C'],240715,bRMS
54,2,A,1,K,,1610.1,f42887_e_252 copy.png,f42887_e_069 copy.png,A,1,0,1,['A'],['C'],242796,bRMS
55,2,A,1,D,,1475.6,f42887_e_025 copy.png,f42887_e_201 copy.png,A,1,0,1,['A'],['C'],244740,bRMS
56,2,A,1,D,,1119.3,f42887_e_058 copy.png,f42887_e_273 copy.png,A,1,0,1,['A'],['C'],246321,bRMS
57,2,A,1,D,,3112.3,f42887_e_025 copy.png,f42887_e_210 copy.png,A,1,0,1,['A'],['C'],249896,bRMS
58,2,A,1,K,,1548.1,f42887_e_156 copy.png,f42887_e_266 copy.png,A,1,0,1,['A'],['C'],251908,bRMS
59,2,A,0,K,,1239.8,f42887_e_127 copy.png,f42887_e_179 copy.png,A,0,0,1,['A'],['C'],253606,bRMS
60,2,A,0,D,,1347,f42887_e_121 copy.png,f42887_e_265 copy.png,A,0,0,1,['A'],['C'],255422,bRMS
61,2,A,0,D,,1505.6,f42887_e_298 copy.png,f42887_e_291 copy.png,A,0,0,1,['A'],['C'],257398,bRMS
62,2,A,0,K,,1638.8,f42887_e_127 copy.png,f42887_e_024 copy.png,A,0,0,1,['A'],['C'],259508,bRMS
63,4,B,1,K,,1302.7,f42887_e_166 copy.png,f42887_e_157 copy.png,B,1,0,1,['B'],['D'],261278,bRMS
64,4,B,1,K,,1452.7,f42887_e_295 copy.png,f42887_e_043 copy.png,B,1,0,1,['B'],['D'],263190,bRMS
65,4,B,1,D,,1486.1,f42887_e_180 copy.png,f42887_e_122 copy.png,B,1,0,1,['B'],['D'],265145,bRMS
66,4,B,1,D,,6165.6,f42887_e_231 copy.png,f42887_e_103 copy.png,B,1,0,1,['B'],['D'],271768,bRMS
67,4,B,0,K,,1460.7,f42887_e_016 copy.png,f42887_e_293 copy.png,B,0,0,1,['B'],['D'],273700,bRMS
68,4,B,1,D,,1472.3,f42887_e_056 copy.png,f42887_e_165 copy.png,B,1,0,1,['B'],['D'],275635,bRMS
69,4,B,1,D,,1419.6,f42887_e_289 copy.png,f42887_e_278 copy.png,B,1,0,1,['B'],['D'],277514,bRMS
70,4,B,1,D,,1347.7,f42887_e_004 copy.png,f42887_e_096 copy.png,B,1,0,1,['B'],['D'],279322,bRMS
71,4,B,0,K,,1257.6,f42887_e_054 copy.png,f42887_e_296 copy.png,B,0,0,1,['B'],['D'],281049,bRMS
72,4,B,1,D,,959.5,f42887_e_200 copy.png,f42887_e_241 copy.png,B,1,0,1,['B'],['D'],282469,bRMS
73,4,B,0,K,,1154.2,f42887_e_191 copy.png,f42887_e_028 copy.png,B,0,0,1,['B'],['D'],284088,bRMS
74,4,B,0,K,,1079,f42887_e_235 copy.png,f42887_e_218 copy.png,B,0,0,1,['B'],['D'],285631,bRMS
75,4,B,1,D,,987.4,f42887_e_161 copy.png,f42887_e_237 copy.png,B,1,0,1,['B'],['D'],287074,bRMS
76,4,B,0,K,,1004.6,f42887_e_080 copy.png,f42887_e_189 copy.png,B,0,0,1,['B'],['D'],288537,bRMS
77,4,B,1,D,,1340.6,f42887_e_065 copy.png,f42887_e_152 copy.png,B,1,0,1,['B'],['D'],290337,bRMS
78,4,B,1,D,,1197.5,f42887_e_120 copy.png,f42887_e_038 copy.png,B,1,0,1,['B'],['D'],291998,bRMS
79,4,B,0,K,,1148,f42887_e_287 copy.png,f42887_e_178 copy.png,B,0,0,1,['B'],['D'],293604,bRMS
80,5,C,0,K,,1276.1,f42887_e_176 copy.png,f42887_e_296 copy.png,C,0,0,1,['C'],['D'],295350,bRMS
81,5,C,1,D,,1258.6,f42887_e_212 copy.png,f42887_e_218 copy.png,C,1,0,1,['C'],['D'],297073,bRMS
